TFR,World,Australia,Austria,Belgium,Chile,Denmark,Estonia,Finland,France,Germany,Ireland,Italy,Japan,Luxembourg,Netherlands,New Zealand,Norway,Philippines,Poland,Romania,Russia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay,
1973,2.380705139,2.491,1.938,1.977,3.504,1.917,2.132,1.5,2.237,1.7,3.739,2.315,2.087,1.697,1.9,2.73226,2.23,5.931,2.236,2.424778761,1.993,2.227,2.839,1.868,1.829,1.976,1.871,2.988,
1974,2.33631943,2.321,1.908,1.905,3.33,1.896,2.125,1.62,2.144,1.62,3.667,2.244,2.048,1.627,1.77,2.61166,2.13,5.824,2.242,2.707964602,1.987,2.218,2.804,1.876,1.743,1.892,1.827,2.993,
1975,2.26860626,2.148,1.827,1.839,3.163,1.919,2.112,1.69,2.055,1.563,3.571,2.165,1.997,1.57,1.66,2.4589,1.98,5.718,2.248,2.619469027,1.976,2.209,2.751,1.769,1.669,1.825,1.769,2.981,
1976,2.203795988,2.06,1.688,1.781,3.013,1.747,2.095,1.72,1.977,1.527,3.458,2.079,1.94,1.528,1.63,2.36912,1.86,5.613,2.255,2.566371681,1.964,2.195,2.679,1.682,1.61,1.776,1.739,2.951,
1977,2.154701881,2.007,1.631,1.731,2.887,1.66,2.079,1.69,1.915,1.504,3.338,1.988,1.885,1.497,1.58,2.32088,1.75,5.506,2.266,2.584070796,1.956,2.172,2.587,1.646,1.565,1.744,1.783,2.905,
1978,2.109733864,1.949,1.604,1.689,2.788,1.668,2.066,1.65,1.871,1.489,3.221,1.897,1.838,1.476,1.58,2.18554,1.77,5.399,2.28,2.513274336,1.955,2.138,2.478,1.6,1.535,1.727,1.747,2.849,
1979,2.081718342,1.907,1.598,1.655,2.718,1.601,2.06,1.64,1.845,1.479,3.109,1.807,1.802,1.463,1.56,2.24182,1.75,5.29,2.295,2.495575221,1.963,2.093,2.355,1.658,1.518,1.721,1.795,2.787,
1980,2.054155477,1.891,1.652,1.629,2.675,1.546,2.063,1.63,1.834,1.472,3.001,1.722,1.777,1.456,1.6,2.15472,1.72,5.183,2.31,2.442477876,1.979,2.039,2.224,1.68,1.511,1.726,1.821,2.724,
1981,2.025779344,1.935,1.674,1.609,2.656,1.437,2.078,1.65,1.836,1.467,2.897,1.644,1.761,1.452,1.56,2.15606,1.7,5.078,2.319,2.353982301,2.006,1.978,2.091,1.636,1.513,1.739,1.805,2.665,
1982,1.998953779,1.929,1.661,1.594,2.65,1.427,2.103,1.72,1.842,1.463,2.79,1.573,1.751,1.45,1.5,2.10246,1.71,4.978,2.321,2.159292035,2.041,1.915,1.96,1.627,1.52,1.757,1.814,2.614,
1983,1.967131858,1.924,1.559,1.581,2.651,1.377,2.134,1.74,1.846,1.46,2.678,1.51,1.741,1.448,1.47,2.0971,1.66,4.883,2.313,1.996460177,2.077,1.853,1.838,1.614,1.528,1.777,1.783,2.574,
1984,1.957625598,1.84,1.522,1.571,2.655,1.4,2.166,1.7,1.847,1.457,2.564,1.457,1.73,1.448,1.49,2.1239,1.66,4.795,2.294,2.17699115,2.11,1.794,1.728,1.658,1.535,1.796,1.792,2.546,
1985,1.953696545,1.923,1.474,1.564,2.657,1.447,2.189,1.64,1.841,1.452,2.45,1.413,1.715,1.45,1.51,2.14132,1.68,4.712,2.266,2.265486726,2.131,1.738,1.633,1.74,1.541,1.812,1.835,2.53,
1986,1.943830423,1.868,1.449,1.56,2.656,1.48,2.193,1.6,1.827,1.441,2.338,1.378,1.695,1.458,1.55,2.15874,1.71,4.632,2.228,2.371681416,2.129,1.684,1.554,1.8,1.543,1.822,1.835,2.523,
1987,1.934439987,1.845,1.432,1.561,2.653,1.496,2.171,1.59,1.81,1.426,2.234,1.351,1.67,1.473,1.56,2.2378,1.75,4.554,2.186,2.407079646,2.101,1.631,1.487,1.844,1.545,1.827,1.865,2.523,
1988,1.931151295,1.831,1.447,1.565,2.649,1.559,2.121,1.7,1.791,1.406,2.14,1.33,1.641,1.496,1.55,2.3182,1.84,4.476,2.14,2.300884956,2.046,1.577,1.431,1.967,1.546,1.827,1.922,2.524,
1989,1.916552265,1.838,1.446,1.573,2.64,1.62,2.043,1.71,1.771,1.383,2.06,1.314,1.607,1.526,1.55,2.32892,1.89,4.397,2.091,2.17699115,1.964,1.524,1.383,2.02,1.547,1.822,1.999,2.523,
1990,1.903246273,1.902,1.457,1.582,2.624,1.668,1.943,1.79,1.752,1.359,1.996,1.301,1.571,1.562,1.62,2.39726,1.93,4.32,2.038,1.812389381,1.861,1.473,1.343,2.14,1.546,1.813,2.069,2.518,
1991,1.869429708,1.849,1.507,1.591,2.597,1.683,1.828,1.8,1.736,1.337,1.949,1.288,1.535,1.6,1.61,2.36108,1.92,4.246,1.979,1.557522124,1.745,1.425,1.309,2.113,1.544,1.801,2.058,2.506,
1992,1.845563173,1.888,1.505,1.599,2.559,1.764,1.711,1.85,1.724,1.321,1.918,1.277,1.499,1.637,1.59,2.30748,1.88,4.177,1.913,1.486725664,1.628,1.381,1.28,2.077,1.539,1.789,2.043,2.487,
1993,1.81054253,1.859,1.501,1.603,2.51,1.749,1.602,1.81,1.717,1.311,1.901,1.264,1.467,1.669,1.57,2.21502,1.86,4.113,1.84,1.433628319,1.519,1.343,1.254,1.982,1.533,1.777,2.019,2.463,
1994,1.785735896,1.842,1.465,1.605,2.453,1.806,1.507,1.85,1.717,1.309,1.895,1.252,1.438,1.694,1.57,2.13194,1.87,4.056,1.761,1.415929204,1.425,1.312,1.231,1.883,1.525,1.766,2.003,2.432,
1995,1.754488148,1.822,1.424,1.606,2.388,1.807,1.432,1.81,1.723,1.313,1.898,1.24,1.413,1.711,1.53,2.11318,1.87,4.006,1.68,1.354,1.35,1.286,1.213,1.731,1.515,1.756,1.982,2.398,
1996,1.728491852,1.796,1.446,1.605,2.321,1.747,1.378,1.76,1.735,1.322,1.907,1.228,1.392,1.72,1.53,2.06628,1.89,3.962,1.598,1.318,1.296,1.265,1.2,1.6,1.502,1.743,1.98,2.362,
1997,1.709205185,1.778,1.393,1.607,2.254,1.752,1.342,1.75,1.751,1.331,1.919,1.22,1.372,1.721,1.56,2.05154,1.86,3.923,1.519,1.298,1.261,1.247,1.195,1.528,1.487,1.728,1.974,2.327,
1998,1.692557778,1.762,1.37,1.612,2.192,1.724,1.32,1.71,1.772,1.34,1.932,1.215,1.354,1.716,1.63,1.95506,1.81,3.888,1.448,1.285,1.24,1.232,1.197,1.517,1.47,1.71,2.003,2.295,
1999,1.688245926,1.755,1.34,1.62,2.135,1.735,1.312,1.73,1.795,1.347,1.943,1.214,1.337,1.707,1.65,2.00464,1.85,3.852,1.386,1.278,1.233,1.22,1.207,1.512,1.453,1.691,2.009,2.267,
2000,1.690154815,1.756,1.365,1.633,2.087,1.771,1.319,1.73,1.819,1.35,1.951,1.22,1.322,1.695,1.72,1.97918,1.85,3.813,1.336,1.274,1.238,1.214,1.224,1.559,1.437,1.675,2.054,2.243,
2001,1.68088,1.729,1.33,1.652,2.047,1.747,1.341,1.73,1.844,1.352,1.958,1.23,1.31,1.68,1.71,1.96176,1.78,3.766,1.3,1.272,1.253,1.217,1.246,1.58,1.425,1.669,2.031,2.223,
2002,1.685777778,1.756,1.393,1.675,2.014,1.723,1.377,1.72,1.869,1.352,1.965,1.246,1.303,1.665,1.73,1.954,1.75,3.709,1.278,1.274,1.276,1.23,1.271,1.665,1.418,1.674,2.024,2.205,
2003,1.697666667,1.748,1.376,1.7,1.985,1.758,1.422,1.76,1.893,1.351,1.972,1.266,1.3,1.65,1.75,1.981,1.8,3.642,1.268,1.279,1.304,1.253,1.298,1.731,1.416,1.693,2.053,2.188,
2004,1.710555556,1.763,1.419,1.727,1.96,1.784,1.472,1.8,1.916,1.352,1.979,1.29,1.301,1.638,1.73,2.015,1.83,3.566,1.268,1.288,1.334,1.285,1.325,1.771,1.42,1.723,2.058,2.171,
2005,1.719777778,1.791,1.406,1.754,1.939,1.802,1.522,1.8,1.936,1.353,1.987,1.315,1.307,1.629,1.708,2.052,1.84,3.485,1.278,1.299,1.364,1.323,1.35,1.787,1.429,1.762,2.061,2.155,
2006,1.739555556,1.817,1.405,1.78,1.92,1.85,1.565,1.84,1.952,1.356,1.993,1.341,1.317,1.624,1.72,2.085,1.9,3.403,1.294,1.311,1.393,1.363,1.375,1.869,1.442,1.803,2.112,2.138,
2007,1.750533333,1.92,1.379,1.801,1.903,1.8464,1.598,1.83,1.964,1.361,1.999,1.367,1.329,1.623,1.718,2.11,1.9,3.326,1.313,1.325,1.42,1.401,1.397,1.892,1.457,1.841,2.122,2.122,
2008,1.765418519,1.956,1.411,1.819,1.888,1.8923,1.619,1.85,1.973,1.368,2.002,1.392,1.343,1.626,1.773,2.123,1.96,3.257,1.334,1.34,1.446,1.434,1.419,1.917,1.472,1.871,2.074,2.107,
2009,1.765592593,1.903,1.391,1.833,1.873,1.842,1.628,1.86,1.978,1.376,2.003,1.415,1.359,1.631,1.79,2.125,1.98,3.199,1.354,1.356,1.468,1.459,1.439,1.937,1.487,1.89,2.002,2.093,
2010,1.769892593,1.886,1.438,1.842,1.858,1.8751,1.625,1.87,1.981,1.386,2.003,1.435,1.374,1.64,1.796,2.115,1.95,3.151,1.372,1.372,1.489,1.478,1.457,1.987,1.5,1.899,1.928,2.08,
2011,1.757838519,1.884,1.443,1.847,1.844,1.7556,1.617,1.83,1.981,1.397,2.002,1.454,1.389,1.65,1.759,2.096,1.88,3.111,1.388,1.387,1.506,1.491,1.474,1.9,1.511,1.9,1.89704,2.068,
2012,1.757416296,1.887,1.457,1.851,1.832,1.7332,1.609,1.8,1.981,1.408,1.999,1.471,1.405,1.661,1.759,2.074,1.85,3.076,1.402,1.402,1.522,1.5,1.49,1.91,1.522,1.896,1.89704,2.056,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
